ISO3,Year,Variable,Value
ABW,2010,Gas,0.0
ABW,2010,Hydro,0.0
ABW,2010,Nuclear,0.0
ABW,2010,Other Fossil,0.83
ABW,2010,Other Renewables,0.0
ABW,2010,Solar,0.0
ABW,2010,Wind,0.11
ABW,2011,Bioenergy,0.0
ABW,2011,Coal,0.0
ABW,2011,Gas,0.0
ABW,2011,Hydro,0.0
ABW,2011,Nuclear,0.0
ABW,2011,Other Fossil,0.82
ABW,2011,Other Renewables,0.0
ABW,2011,Solar,0.0
ABW,2011,Wind,0.11
ABW,2012,Bioenergy,0.0
ABW,2012,Coal,0.0
ABW,2012,Gas,0.0
ABW,2012,Hydro,0.0
ABW,2012,Nuclear,0.0
ABW,2012,Other Fossil,0.78
ABW,2012,Other Renewables,0.0
ABW,2012,Solar,0.0
ABW,2012,Wind,0.14
ABW,2013,Bioenergy,0.0
ABW,2013,Coal,0.0
ABW,2013,Gas,0.0
ABW,2013,Hydro,0.0
ABW,2013,Nuclear,0.0
ABW,2013,Other Fossil,0.79
ABW,2013,Other Renewables,0.0
ABW,2013,Solar,0.0
ABW,2013,Wind,0.15
ABW,2014,Bioenergy,0.0
ABW,2014,Coal,0.0
ABW,2014,Gas,0.0
ABW,2014,Hydro,0.0
ABW,2014,Nuclear,0.0
ABW,2014,Other Fossil,0.78
ABW,2014,Other Renewables,0.0
ABW,2014,Solar,0.01
ABW,2014,Wind,0.15
ABW,2015,Bioenergy,0.0
ABW,2015,Coal,0.0
ABW,2015,Gas,0.0
ABW,2015,Hydro,0.0
ABW,2015,Nuclear,0.0
ABW,2015,Other Fossil,0.79
ABW,2015,Other Renewables,0.0
ABW,2015,Solar,0.01
ABW,2015,Wind,0.17
ABW,2016,Bioenergy,0.0
ABW,2016,Coal,0.0
ABW,2016,Gas,0.0
ABW,2016,Hydro,0.0
ABW,2016,Nuclear,0.0
ABW,2016,Other Fossil,0.8
ABW,2016,Other Renewables,0.0
ABW,2016,Solar,0.01
ABW,2016,Wind,0.13
ABW,2017,Bioenergy,0.0
ABW,2017,Coal,0.0
ABW,2017,Gas,0.0
ABW,2017,Hydro,0.0
ABW,2017,Nuclear,0.0
ABW,2017,Other Fossil,0.83
ABW,2017,Other Renewables,0.0
ABW,2017,Solar,0.01
ABW,2017,Wind,0.13
ABW,2018,Bioenergy,0.0
ABW,2018,Coal,0.0
ABW,2018,Gas,0.0
ABW,2018,Hydro,0.0
ABW,2018,Nuclear,0.0
ABW,2018,Other Fossil,0.81
ABW,2018,Other Renewables,0.0
ABW,2018,Solar,0.02
ABW,2018,Wind,0.14
ABW,2019,Bioenergy,0.0
ABW,2019,Coal,0.0
ABW,2019,Gas,0.0
ABW,2019,Hydro,0.0
ABW,2019,Nuclear,0.0
ABW,2019,Other Fossil,0.82
ABW,2019,Other Renewables,0.0
ABW,2019,Solar,0.03
ABW,2019,Wind,0.14
ABW,2020,Bioenergy,0.0
ABW,2020,Coal,0.0
ABW,2020,Gas,0.0
ABW,2020,Hydro,0.0
ABW,2020,Nuclear,0.0
ABW,2020,Other Fossil,0.82
ABW,2020,Other Renewables,0.0
ABW,2020,Solar,0.03
ABW,2020,Wind,0.14
ABW,2021,Bioenergy,0.0
ABW,2021,Coal,0.0
ABW,2021,Gas,0.0
ABW,2021,Hydro,0.0
ABW,2021,Nuclear,0.0
ABW,2021,Other Fossil,0.83
ABW,2021,Other Renewables,0.0
ABW,2021,Solar,0.03
ABW,2021,Wind,0.14
ABW,2022,Bioenergy,0.0
ABW,2022,Coal,0.0
ABW,2022,Gas,0.0
ABW,2022,Hydro,0.0
ABW,2022,Nuclear,0.0
ABW,2022,Other Fossil,0.83
ABW,2022,Other Renewables,0.0
ABW,2022,Solar,0.03
ABW,2022,Wind,0.14
ABW,2023,Bioenergy,0.0
ABW,2023,Coal,0.0
ABW,2023,Gas,0.0
ABW,2023,Hydro,0.0
ABW,2023,Nuclear,0.0
ABW,2023,Other Fossil,0.83
ABW,2023,Other Renewables,0.0
ABW,2023,Solar,0.03
ABW,2023,Wind,0.14
ABW,2024,Bioenergy,0.0
ABW,2024,Coal,0.0
ABW,2024,Gas,0.0
ABW,2024,Hydro,0.0
ABW,2024,Nuclear,0.0
ABW,2024,Other Fossil,0.83
ABW,2024,Other Renewables,0.0
ABW,2024,Solar,0.03
ABW,2024,Wind,0.14
AFG,2000,Bioenergy,0.0
AFG,2000,Coal,0.0
AFG,2000,Gas,0.0
AFG,2000,Hydro,0.31
AFG,2000,Nuclear,0.0
AFG,2000,Other Fossil,0.17
AFG,2000,Other Renewables,0.0
AFG,2000,Solar,0.0
AFG,2000,Wind,0.0
AFG,2001,Bioenergy,0.0
AFG,2001,Coal,0.04
AFG,2001,Gas,0.0
AFG,2001,Hydro,0.5
AFG,2001,Nuclear,0.0
AFG,2001,Other Fossil,0.15
AFG,2001,Other Renewables,0.0
AFG,2001,Solar,0.0
AFG,2001,Wind,0.0
AFG,2002,Bioenergy,0.0
AFG,2002,Coal,0.04
AFG,2002,Gas,0.0
AFG,2002,Hydro,0.56
AFG,2002,Nuclear,0.0
AFG,2002,Other Fossil,0.11
AFG,2002,Other Renewables,0.0
AFG,2002,Solar,0.0
AFG,2002,Wind,0.0
AFG,2003,Bioenergy,0.0
AFG,2003,Coal,0.09
AFG,2003,Gas,0.0
AFG,2003,Hydro,0.63
AFG,2003,Nuclear,0.0
AFG,2003,Other Fossil,0.19
AFG,2003,Other Renewables,0.0
AFG,2003,Solar,0.0
AFG,2003,Wind,0.0
AFG,2004,Bioenergy,0.0
AFG,2004,Coal,0.06
AFG,2004,Gas,0.0
AFG,2004,Hydro,0.56
AFG,2004,Nuclear,0.0
AFG,2004,Other Fossil,0.17
AFG,2004,Other Renewables,0.0
AFG,2004,Solar,0.0
AFG,2004,Wind,0.0
AFG,2005,Bioenergy,0.0
AFG,2005,Coal,0.06
AFG,2005,Gas,0.0
AFG,2005,Hydro,0.59
AFG,2005,Nuclear,0.0
AFG,2005,Other Fossil,0.17
AFG,2005,Other Renewables,0.0
AFG,2005,Solar,0.0
AFG,2005,Wind,0.0
AFG,2006,Bioenergy,0.0
AFG,2006,Coal,0.15
AFG,2006,Gas,0.0
AFG,2006,Hydro,0.64
AFG,2006,Nuclear,0.0
AFG,2006,Other Fossil,0.11
AFG,2006,Other Renewables,0.0
AFG,2006,Solar,0.0
AFG,2006,Wind,0.0
AFG,2007,Bioenergy,0.0
AFG,2007,Coal,0.15
AFG,2007,Gas,0.0
AFG,2007,Hydro,0.75
AFG,2007,Nuclear,0.0
AFG,2007,Other Fossil,0.11
AFG,2007,Other Renewables,0.0
AFG,2007,Solar,0.0
AFG,2007,Wind,0.0
AFG,2008,Bioenergy,0.0
AFG,2008,Coal,0.13
AFG,2008,Gas,0.0
AFG,2008,Hydro,0.54
AFG,2008,Nuclear,0.0
AFG,2008,Other Fossil,0.11
AFG,2008,Other Renewables,0.0
AFG,2008,Solar,0.0
AFG,2008,Wind,0.0
AFG,2009,Bioenergy,0.0
AFG,2009,Coal,0.06
AFG,2009,Gas,0.0
AFG,2009,Hydro,0.78
AFG,2009,Nuclear,0.0
AFG,2009,Other Fossil,0.05
AFG,2009,Other Renewables,0.0
AFG,2009,Solar,0.0
AFG,2009,Wind,0.0
AFG,2010,Bioenergy,0.0
AFG,2010,Coal,0.06
AFG,2010,Gas,0.0
AFG,2010,Hydro,0.75
AFG,2010,Nuclear,0.0
AFG,2010,Other Fossil,0.07
AFG,2010,Other Renewables,0.0
AFG,2010,Solar,0.0
AFG,2010,Wind,0.0
AFG,2011,Bioenergy,0.0
AFG,2011,Coal,0.1
AFG,2011,Gas,0.0
AFG,2011,Hydro,0.6
AFG,2011,Nuclear,0.0
AFG,2011,Other Fossil,0.07
AFG,2011,Other Renewables,0.0
AFG,2011,Solar,0.0
AFG,2011,Wind,0.0
AFG,2012,Bioenergy,0.0
AFG,2012,Coal,0.07
AFG,2012,Gas,0.0
AFG,2012,Hydro,0.71
AFG,2012,Nuclear,0.0
AFG,2012,Other Fossil,0.07
AFG,2012,Other Renewables,0.0
AFG,2012,Solar,0.03
AFG,2012,Wind,0.0
AFG,2013,Bioenergy,0.0
AFG,2013,Coal,0.12
AFG,2013,Gas,0.0
AFG,2013,Hydro,0.86
AFG,2013,Nuclear,0.0
AFG,2013,Other Fossil,0.1
AFG,2013,Other Renewables,0.0
AFG,2013,Solar,0.03
AFG,2013,Wind,0.0
AFG,2014,Bioenergy,0.0
AFG,2014,Coal,0.11
AFG,2014,Gas,0.0
AFG,2014,Hydro,0.97
AFG,2014,Nuclear,0.0
AFG,2014,Other Fossil,0.05
AFG,2014,Other Renewables,0.0
AFG,2014,Solar,0.03
AFG,2014,Wind,0.0
AFG,2015,Bioenergy,0.0
AFG,2015,Coal,0.1
AFG,2015,Gas,0.0
AFG,2015,Hydro,1.0
AFG,2015,Nuclear,0.0
AFG,2015,Other Fossil,0.05
AFG,2015,Other Renewables,0.0
AFG,2015,Solar,0.03
AFG,2015,Wind,0.0
AFG,2016,Bioenergy,0.0
AFG,2016,Coal,0.09
AFG,2016,Gas,0.0
AFG,2016,Hydro,1.02
AFG,2016,Nuclear,0.0
AFG,2016,Other Fossil,0.06
AFG,2016,Other Renewables,0.0
AFG,2016,Solar,0.04
AFG,2016,Wind,0.0
AFG,2017,Bioenergy,0.0
AFG,2017,Coal,0.11
AFG,2017,Gas,0.0
AFG,2017,Hydro,1.05
AFG,2017,Nuclear,0.0
AFG,2017,Other Fossil,0.06
AFG,2017,Other Renewables,0.0
AFG,2017,Solar,0.04
AFG,2017,Wind,0.0
AFG,2018,Bioenergy,0.0
AFG,2018,Coal,0.12
AFG,2018,Gas,0.0
AFG,2018,Hydro,0.93
AFG,2018,Nuclear,0.0
AFG,2018,Other Fossil,0.08
AFG,2018,Other Renewables,0.0
AFG,2018,Solar,0.04
AFG,2018,Wind,0.0
AFG,2019,Bioenergy,0.0
AFG,2019,Coal,0.08
AFG,2019,Gas,0.0
AFG,2019,Hydro,1.22
AFG,2019,Nuclear,0.0
AFG,2019,Other Fossil,0.1
AFG,2019,Other Renewables,0.0
AFG,2019,Solar,0.06
AFG,2019,Wind,0.0
AFG,2020,Bioenergy,0.0
AFG,2020,Coal,0.02
AFG,2020,Gas,0.0
AFG,2020,Hydro,0.99
AFG,2020,Nuclear,0.0
AFG,2020,Other Fossil,0.1
AFG,2020,Other Renewables,0.0
AFG,2020,Solar,0.07
AFG,2020,Wind,0.0
AFG,2021,Bioenergy,0.0
AFG,2021,Coal,0.03
AFG,2021,Gas,0.0
AFG,2021,Hydro,0.85
AFG,2021,Nuclear,0.0
AFG,2021,Other Fossil,0.1
AFG,2021,Other Renewables,0.0
AFG,2021,Solar,0.08
AFG,2021,Wind,0.0
AFG,2022,Bioenergy,0.0
AFG,2022,Coal,0.03
AFG,2022,Gas,0.0
AFG,2022,Hydro,0.74
AFG,2022,Nuclear,0.0
AFG,2022,Other Fossil,0.1
AFG,2022,Other Renewables,0.0
AFG,2022,Solar,0.09
AFG,2022,Wind,0.0
AFG,2023,Bioenergy,0.0
AFG,2023,Coal,0.03
AFG,2023,Gas,0.0
AFG,2023,Hydro,0.75
AFG,2023,Nuclear,0.0
AFG,2023,Other Fossil,0.1
AFG,2023,Other Renewables,0.0
AFG,2023,Solar,0.09
AFG,2023,Wind,0.0
AFG,2024,Bioenergy,0.0
AFG,2024,Coal,0.03
AFG,2024,Gas,0.0
AFG,2024,Hydro,0.75
AFG,2024,Nuclear,0.0
AFG,2024,Other Fossil,0.1
AFG,2024,Other Renewables,0.0
AFG,2024,Solar,0.11
AFG,2024,Wind,0.0
AGO,2000,Bioenergy,0.0
AGO,2000,Coal,0.0
AGO,2000,Gas,0.0
AGO,2000,Hydro,0.91
AGO,2000,Nuclear,0.0
AGO,2000,Other Fossil,0.53
AGO,2000,Other Renewables,0.0
AGO,2000,Solar,0.0
AGO,2000,Wind,0.0
AGO,2001,Bioenergy,0.0
AGO,2001,Coal,0.0
AGO,2001,Gas,0.0
AGO,2001,Hydro,1.02
AGO,2001,Nuclear,0.0
AGO,2001,Other Fossil,0.62
AGO,2001,Other Renewables,0.0
AGO,2001,Solar,0.0
AGO,2001,Wind,0.0
AGO,2002,Bioenergy,0.0
AGO,2002,Coal,0.0
AGO,2002,Gas,0.0
AGO,2002,Hydro,1.14
AGO,2002,Nuclear,0.0
AGO,2002,Other Fossil,0.62
AGO,2002,Other Renewables,0.0
AGO,2002,Solar,0.0
AGO,2002,Wind,0.0
AGO,2003,Bioenergy,0.0
AGO,2003,Coal,0.0
AGO,2003,Gas,0.0
AGO,2003,Hydro,1.24
AGO,2003,Nuclear,0.0
AGO,2003,Other Fossil,0.75
AGO,2003,Other Renewables,0.0
AGO,2003,Solar,0.0
AGO,2003,Wind,0.0
AGO,2004,Bioenergy,0.0
AGO,2004,Coal,0.0
AGO,2004,Gas,0.0
AGO,2004,Hydro,1.75
AGO,2004,Nuclear,0.0
AGO,2004,Other Fossil,0.49
AGO,2004,Other Renewables,0.0
AGO,2004,Solar,0.0
AGO,2004,Wind,0.0
AGO,2005,Bioenergy,0.0
AGO,2005,Coal,0.0
AGO,2005,Gas,0.0
AGO,2005,Hydro,2.22
AGO,2005,Nuclear,0.0
AGO,2005,Other Fossil,0.41
AGO,2005,Other Renewables,0.0
AGO,2005,Solar,0.0
AGO,2005,Wind,0.0
AGO,2006,Bioenergy,0.0
AGO,2006,Coal,0.0
AGO,2006,Gas,0.0
AGO,2006,Hydro,2.54
AGO,2006,Nuclear,0.0
AGO,2006,Other Fossil,0.44
AGO,2006,Other Renewables,0.0
AGO,2006,Solar,0.0
AGO,2006,Wind,0.0
AGO,2007,Bioenergy,0.0
AGO,2007,Coal,0.0
AGO,2007,Gas,0.0
AGO,2007,Hydro,2.49
AGO,2007,Nuclear,0.0
AGO,2007,Other Fossil,0.75
AGO,2007,Other Renewables,0.0
AGO,2007,Solar,0.0
AGO,2007,Wind,0.0
AGO,2008,Bioenergy,0.0
AGO,2008,Coal,0.0
AGO,2008,Gas,0.0
AGO,2008,Hydro,3.15
AGO,2008,Nuclear,0.0
AGO,2008,Other Fossil,0.9
AGO,2008,Other Renewables,0.0
AGO,2008,Solar,0.0
AGO,2008,Wind,0.0
AGO,2009,Bioenergy,0.0
AGO,2009,Coal,0.0
AGO,2009,Gas,0.0
AGO,2009,Hydro,3.27
AGO,2009,Nuclear,0.0
AGO,2009,Other Fossil,1.64
AGO,2009,Other Renewables,0.0
AGO,2009,Solar,0.0
AGO,2009,Wind,0.0
AGO,2010,Bioenergy,0.0
AGO,2010,Coal,0.0
AGO,2010,Gas,0.0
AGO,2010,Hydro,3.7
AGO,2010,Nuclear,0.0
AGO,2010,Other Fossil,1.75
AGO,2010,Other Renewables,0.0
AGO,2010,Solar,0.01
AGO,2010,Wind,0.0
AGO,2011,Bioenergy,0.0
AGO,2011,Coal,0.0
AGO,2011,Gas,0.0
AGO,2011,Hydro,4.01
AGO,2011,Nuclear,0.0
AGO,2011,Other Fossil,1.64
AGO,2011,Other Renewables,0.0
AGO,2011,Solar,0.01
AGO,2011,Wind,0.0
AGO,2012,Bioenergy,0.0
AGO,2012,Coal,0.0
AGO,2012,Gas,0.0
AGO,2012,Hydro,5.47
AGO,2012,Nuclear,0.0
AGO,2012,Other Fossil,2.24
AGO,2012,Other Renewables,0.0
AGO,2012,Solar,0.01
AGO,2012,Wind,0.0
AGO,2013,Bioenergy,0.0
AGO,2013,Coal,0.0
AGO,2013,Gas,0.0
AGO,2013,Hydro,4.72
AGO,2013,Nuclear,0.0
AGO,2013,Other Fossil,3.42
AGO,2013,Other Renewables,0.0
AGO,2013,Solar,0.01
AGO,2013,Wind,0.0
AGO,2014,Bioenergy,0.04
AGO,2014,Coal,0.0
AGO,2014,Gas,0.0
AGO,2014,Hydro,4.99
AGO,2014,Nuclear,0.0
AGO,2014,Other Fossil,4.51
AGO,2014,Other Renewables,0.0
AGO,2014,Solar,0.02
AGO,2014,Wind,0.0
AGO,2015,Bioenergy,0.04
AGO,2015,Coal,0.0
AGO,2015,Gas,0.0
AGO,2015,Hydro,5.28
AGO,2015,Nuclear,0.0
AGO,2015,Other Fossil,4.44
AGO,2015,Other Renewables,0.0
AGO,2015,Solar,0.02
AGO,2015,Wind,0.0
AGO,2016,Bioenergy,0.05
AGO,2016,Coal,0.0
AGO,2016,Gas,0.0
AGO,2016,Hydro,6.36
AGO,2016,Nuclear,0.0
AGO,2016,Other Fossil,4.55
AGO,2016,Other Renewables,0.0
AGO,2016,Solar,0.02
AGO,2016,Wind,0.0
AGO,2017,Bioenergy,0.05
AGO,2017,Coal,0.0
AGO,2017,Gas,0.04
AGO,2017,Hydro,7.65
AGO,2017,Nuclear,0.0
AGO,2017,Other Fossil,3.05
AGO,2017,Other Renewables,0.0
AGO,2017,Solar,0.02
AGO,2017,Wind,0.0
AGO,2018,Bioenergy,0.05
AGO,2018,Coal,0.0
AGO,2018,Gas,0.08
AGO,2018,Hydro,10.37
AGO,2018,Nuclear,0.0
AGO,2018,Other Fossil,2.62
AGO,2018,Other Renewables,0.0
AGO,2018,Solar,0.02
AGO,2018,Wind,0.0
AGO,2019,Bioenergy,0.05
AGO,2019,Coal,0.0
AGO,2019,Gas,1.64
AGO,2019,Hydro,11.51
AGO,2019,Nuclear,0.0
AGO,2019,Other Fossil,2.6
AGO,2019,Other Renewables,0.0
AGO,2019,Solar,0.02
AGO,2019,Wind,0.0
AGO,2020,Bioenergy,0.05
AGO,2020,Coal,0.0
AGO,2020,Gas,1.65
AGO,2020,Hydro,12.64
AGO,2020,Nuclear,0.0
AGO,2020,Other Fossil,2.45
AGO,2020,Other Renewables,0.0
AGO,2020,Solar,0.02
AGO,2020,Wind,0.0
AGO,2021,Bioenergy,0.05
AGO,2021,Coal,0.0
AGO,2021,Gas,1.66
AGO,2021,Hydro,12.64
AGO,2021,Nuclear,0.0
AGO,2021,Other Fossil,2.48
AGO,2021,Other Renewables,0.0
AGO,2021,Solar,0.02
AGO,2021,Wind,0.0
AGO,2022,Bioenergy,0.05
AGO,2022,Coal,0.0
AGO,2022,Gas,1.67
AGO,2022,Hydro,12.64
AGO,2022,Nuclear,0.0
AGO,2022,Other Fossil,2.56
AGO,2022,Other Renewables,0.0
AGO,2022,Solar,0.39
AGO,2022,Wind,0.0
AGO,2023,Bioenergy,0.05
AGO,2023,Coal,0.0
AGO,2023,Gas,1.39
AGO,2023,Hydro,11.22
AGO,2023,Nuclear,0.0
AGO,2023,Other Fossil,2.7
AGO,2023,Other Renewables,0.0
AGO,2023,Solar,0.39
AGO,2023,Wind,0.0
AGO,2024,Bioenergy,0.05
AGO,2024,Coal,0.0
AGO,2024,Gas,1.4
AGO,2024,Hydro,11.0
AGO,2024,Nuclear,0.0
AGO,2024,Other Fossil,2.7
AGO,2024,Other Renewables,0.0
AGO,2024,Solar,0.44
AGO,2024,Wind,0.0
ALB,2000,Bioenergy,0.0
ALB,2000,Coal,0.0
ALB,2000,Gas,0.0
ALB,2000,Hydro,4.55
ALB,2000,Nuclear,0.0
ALB,2000,Other Fossil,0.18
ALB,2000,Other Renewables,0.0
ALB,2000,Solar,0.0
ALB,2000,Wind,0.0
ALB,2001,Bioenergy,0.0
ALB,2001,Coal,0.0
ALB,2001,Gas,0.0
ALB,2001,Hydro,3.52
ALB,2001,Nuclear,0.0
ALB,2001,Other Fossil,0.17
ALB,2001,Other Renewables,0.0
ALB,2001,Solar,0.0
ALB,2001,Wind,0.0
ALB,2002,Bioenergy,0.0
ALB,2002,Coal,0.0
ALB,2002,Gas,0.0
ALB,2002,Hydro,3.48
ALB,2002,Nuclear,0.0
ALB,2002,Other Fossil,0.23
ALB,2002,Other Renewables,0.0
ALB,2002,Solar,0.0
ALB,2002,Wind,0.0
ALB,2003,Bioenergy,0.0
ALB,2003,Coal,0.0
ALB,2003,Gas,0.0
ALB,2003,Hydro,5.12
ALB,2003,Nuclear,0.0
ALB,2003,Other Fossil,0.11
ALB,2003,Other Renewables,0.0
ALB,2003,Solar,0.0
ALB,2003,Wind,0.0
ALB,2004,Bioenergy,0.0
ALB,2004,Coal,0.0
ALB,2004,Gas,0.0
ALB,2004,Hydro,5.41
ALB,2004,Nuclear,0.0
ALB,2004,Other Fossil,0.14
ALB,2004,Other Renewables,0.0
ALB,2004,Solar,0.0
ALB,2004,Wind,0.0
ALB,2005,Bioenergy,0.0
ALB,2005,Coal,0.0
ALB,2005,Gas,0.0
ALB,2005,Hydro,5.32
ALB,2005,Nuclear,0.0
ALB,2005,Other Fossil,0.07
ALB,2005,Other Renewables,0.0
ALB,2005,Solar,0.0
ALB,2005,Wind,0.0
ALB,2006,Bioenergy,0.0
ALB,2006,Coal,0.0
ALB,2006,Gas,0.0
ALB,2006,Hydro,4.95
ALB,2006,Nuclear,0.0
ALB,2006,Other Fossil,0.09
ALB,2006,Other Renewables,0.0
ALB,2006,Solar,0.0
ALB,2006,Wind,0.0
ALB,2007,Bioenergy,0.0
ALB,2007,Coal,0.0
ALB,2007,Gas,0.0
ALB,2007,Hydro,2.76
ALB,2007,Nuclear,0.0
ALB,2007,Other Fossil,0.07
ALB,2007,Other Renewables,0.0
ALB,2007,Solar,0.0
ALB,2007,Wind,0.0
ALB,2008,Bioenergy,0.0
ALB,2008,Coal,0.0
ALB,2008,Gas,0.0
ALB,2008,Hydro,3.76
ALB,2008,Nuclear,0.0
ALB,2008,Other Fossil,0.0
ALB,2008,Other Renewables,0.0
ALB,2008,Solar,0.0
ALB,2008,Wind,0.0
ALB,2009,Bioenergy,0.0
ALB,2009,Coal,0.0
ALB,2009,Gas,0.0
ALB,2009,Hydro,5.2
ALB,2009,Nuclear,0.0
ALB,2009,Other Fossil,0.0
ALB,2009,Other Renewables,0.0
ALB,2009,Solar,0.0
ALB,2009,Wind,0.0
ALB,2010,Bioenergy,0.0
ALB,2010,Coal,0.0
ALB,2010,Gas,0.0
ALB,2010,Hydro,7.57
ALB,2010,Nuclear,0.0
ALB,2010,Other Fossil,0.0
ALB,2010,Other Renewables,0.0
ALB,2010,Solar,0.0
ALB,2010,Wind,0.0
ALB,2011,Bioenergy,0.0
ALB,2011,Coal,0.0
ALB,2011,Gas,0.0
ALB,2011,Hydro,4.13
ALB,2011,Nuclear,0.0
ALB,2011,Other Fossil,0.06
ALB,2011,Other Renewables,0.0
ALB,2011,Solar,0.0
ALB,2011,Wind,0.0
ALB,2012,Bioenergy,0.0
ALB,2012,Coal,0.0
ALB,2012,Gas,0.0
ALB,2012,Hydro,4.72
ALB,2012,Nuclear,0.0
ALB,2012,Other Fossil,0.0
ALB,2012,Other Renewables,0.0
ALB,2012,Solar,0.0
ALB,2012,Wind,0.0
ALB,2013,Bioenergy,0.0
ALB,2013,Coal,0.0
ALB,2013,Gas,0.0
ALB,2013,Hydro,6.96
ALB,2013,Nuclear,0.0
ALB,2013,Other Fossil,0.0
ALB,2013,Other Renewables,0.0
ALB,2013,Solar,0.0
ALB,2013,Wind,0.0
ALB,2014,Bioenergy,0.0
ALB,2014,Coal,0.0
ALB,2014,Gas,0.0
ALB,2014,Hydro,4.72
ALB,2014,Nuclear,0.0
ALB,2014,Other Fossil,0.0
ALB,2014,Other Renewables,0.0
ALB,2014,Solar,0.0
ALB,2014,Wind,0.0
ALB,2015,Bioenergy,0.0
ALB,2015,Coal,0.0
ALB,2015,Gas,0.0
ALB,2015,Hydro,5.89
ALB,2015,Nuclear,0.0
ALB,2015,Other Fossil,0.0
ALB,2015,Other Renewables,0.0
ALB,2015,Solar,0.0
ALB,2015,Wind,0.0
ALB,2016,Bioenergy,0.0
ALB,2016,Coal,0.0
ALB,2016,Gas,0.0
ALB,2016,Hydro,7.78
ALB,2016,Nuclear,0.0
ALB,2016,Other Fossil,0.0
ALB,2016,Other Renewables,0.0
ALB,2016,Solar,0.0
ALB,2016,Wind,0.0
ALB,2017,Bioenergy,0.0
ALB,2017,Coal,0.0
ALB,2017,Gas,0.0
ALB,2017,Hydro,4.53
ALB,2017,Nuclear,0.0
ALB,2017,Other Fossil,0.0
ALB,2017,Other Renewables,0.0
ALB,2017,Solar,0.0
ALB,2017,Wind,0.0
ALB,2018,Bioenergy,0.0
ALB,2018,Coal,0.0
ALB,2018,Gas,0.0
ALB,2018,Hydro,8.55
ALB,2018,Nuclear,0.0
ALB,2018,Other Fossil,0.0
ALB,2018,Other Renewables,0.0
ALB,2018,Solar,0.0
ALB,2018,Wind,0.0
ALB,2019,Bioenergy,0.0
ALB,2019,Coal,0.0
ALB,2019,Gas,0.0
ALB,2019,Hydro,5.18
ALB,2019,Nuclear,0.0
ALB,2019,Other Fossil,0.0
ALB,2019,Other Renewables,0.0
ALB,2019,Solar,0.02
ALB,2019,Wind,0.0
